AQM r3000, AQM r5000, AQM noxevent, AQM r2000, AQM coevent, GPS system_time, GPS gps_time, GPS latitude, GPS longitude 
476,52,68,13,3,2018-03-14 11:02:37.456337,11:02:37,52.5175425,13.306946666666667
507,107,117,31,3,2018-03-14 13:45:37.560781,13:45:37,52.511920333333336,13.295926
66,10,119,10,3,2018-03-14 15:43:10.675955,15:43:10,52.47035733333333,13.333188833333333
83,10,75,10,91,2018-03-14 16:09:47.698007,16:09:47,52.4588515,13.3232685
270,30,80,10,3,2018-03-14 16:20:30.429457,16:20:30,52.478821333333336,13.3432165
331,85,59,25,3,2018-03-15 07:55:50.764358,07:55:50,52.519067166666666,13.290498
431,109,66,31,3,2018-03-15 08:01:13.044061,08:01:12,52.5051835,13.3008065
347,112,51,31,3,2018-03-15 08:08:39.304938,08:08:39,52.49327516666666,13.310096666666666
432,108,57,34,3,2018-03-15 12:01:47.750468,12:01:47,52.47466516666667,13.283623333333333
507,67,89,23,3,2018-03-15 11:44:59.684214,11:44:59,52.49886166666667,13.3012775
582,109,61,32,3,2018-03-15 12:11:33.258468,12:11:32,52.47977433333333,13.304227166666667
58,10,111,10,3,2018-03-15 12:27:15.789628,12:27:15,52.48184783333333,13.315909833333333
70,10,62,10,3,2018-03-15 12:27:37.020302,12:27:36,52.48132183333333,13.3166405
82,11,53,10,3,2018-03-15 12:28:42.201019,12:28:41,52.47992983333334,13.318481166666666
177,30,65,10,3,2018-03-15 12:42:37.083360,12:42:36,52.5065645,13.3086165
514,41,56,13,3,2018-03-15 12:51:07.634105,12:51:07,52.5110555,13.300399666666667
344,44,87,15,3,2018-03-15 12:59:46.834426,12:59:46,52.5069075,13.3092475
352,40,109,13,3,2018-03-15 12:50:06.614767,12:50:06,52.51056916666667,13.297007333333333
522,61,62,20,3,2018-03-15 13:04:04.135494,13:04:03,52.496194,13.308355166666667
914,68,93,22,3,2018-03-15 13:09:37.651478,13:09:37,52.502508666666664,13.325149833333333
592,60,118,20,3,2018-03-15 13:15:19.771448,13:15:19,52.5050365,13.3394695
588,71,83,23,3,2018-03-15 13:15:54.066275,13:15:53,52.50491783333333,13.3410395
629,72,92,23,3,2018-03-15 13:18:00.196073,13:17:59,52.497288,13.3325225
13,38,166,35,3,2018-03-07 10:45:30.679793,10:45:30,52.565118,13.4095565
16,40,142,36,3,2018-03-07 10:46:33.547712,10:46:33,52.56510866666667,13.4095425
